Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,Rating
746-94-0204,Hà Nội,Normal,Nam,Fashion accessories,83.24,9,37.458,786.618,1/29/19,11:56,Credit card,749.16,7.4
214-17-6927,TP HCM,Normal,Nữ,Food and beverages,16.48,6,4.944,103.824,2/7/19,18:23,Ewallet,98.88,9.9
400-89-4171,TP HCM,Normal,Nữ,Sports and travel,80.97,8,32.388,680.148,1/28/19,13:05,Cash,647.76,9.3
782-95-9291,TP HCM,Member,Nam,Food and beverages,92.29,5,23.0725,484.5225,2/20/19,15:55,Credit card,461.45,9
279-74-2924,Đà Nẵng,Member,Nam,Electronic accessories,72.17,1,3.6085,75.7785,1/4/19,19:40,Cash,72.17,6.1
307-85-2293,Đà Nẵng,Normal,Nam,Home and lifestyle,50.28,5,12.57,263.97,3/7/19,13:58,Ewallet,251.4,9.7
743-04-1105,TP HCM,Member,Nam,Health and beauty,97.22,9,43.749,918.729,3/30/19,14:43,Ewallet,874.98,6
423-57-2993,TP HCM,Normal,Nam,Sports and travel,93.39,6,28.017,588.357,3/27/19,19:18,Ewallet,560.34,10
894-41-5205,TP HCM,Normal,Nữ,Food and beverages,43.18,8,17.272,362.712,1/19/19,19:39,Credit card,345.44,8.3
275-28-0149,Hà Nội,Normal,Nam,Sports and travel,63.69,1,3.1845,66.8745,2/25/19,16:21,Cash,63.69,6
101-17-6199,Hà Nội,Normal,Nam,Food and beverages,45.79,7,16.0265,336.5565,3/13/19,19:44,Credit card,320.53,7
423-80-0988,TP HCM,Normal,Nam,Sports and travel,76.4,2,7.64,160.44,1/30/19,19:42,Ewallet,152.8,6.5
548-46-9322,Đà Nẵng,Normal,Nam,Food and beverages,39.9,10,19.95,418.95,2/20/19,15:24,Credit card,399,5.9
505-02-0892,Đà Nẵng,Member,Nam,Health and beauty,42.57,8,17.028,357.588,2/25/19,14:12,Ewallet,340.56,5.6
234-65-2137,TP HCM,Normal,Nam,Home and lifestyle,95.58,10,47.79,1003.59,1/16/19,13:32,Cash,955.8,4.8
687-47-8271,TP HCM,Normal,Nam,Fashion accessories,98.98,10,49.49,1039.29,2/8/19,16:20,Credit card,989.8,8.7
796-32-9050,TP HCM,Normal,Nam,Food and beverages,51.28,6,15.384,323.064,1/19/19,16:31,Cash,307.68,6.5
105-31-1824,Hà Nội,Member,Nam,Sports and travel,69.52,7,24.332,510.972,2/1/19,15:10,Credit card,486.64,8.5
249-42-3782,Hà Nội,Normal,Nam,Health and beauty,70.01,5,17.5025,367.5525,1/3/19,11:36,Ewallet,350.05,5.5
316-55-4634,TP HCM,Member,Nam,Food and beverages,80.05,5,20.0125,420.2625,1/26/19,12:45,Credit card,400.25,9.4
733-33-4967,TP HCM,Normal,Nam,Electronic accessories,20.85,8,8.34,175.14,3/3/19,19:17,Cash,166.8,6.3
608-27-6295,Đà Nẵng,Member,Nam,Electronic accessories,52.89,6,15.867,333.207,1/19/19,17:34,Credit card,317.34,9.8
414-12-7047,TP HCM,Normal,Nam,Food and beverages,19.79,8,7.916,166.236,1/18/19,12:04,Ewallet,158.32,8.7
827-26-2100,Hà Nội,Member,Nam,Home and lifestyle,33.84,9,15.228,319.788,3/21/19,16:21,Ewallet,304.56,8.8
175-54-2529,Hà Nội,Member,Nam,Food and beverages,22.17,8,8.868,186.228,3/3/19,17:01,Credit card,177.36,9.6
139-52-2867,TP HCM,Normal,Nữ,Fashion accessories,22.51,7,7.8785,165.4485,2/13/19,10:50,Credit card,157.57,4.8
407-63-8975,TP HCM,Normal,Nam,Food and beverages,73.88,6,22.164,465.444,3/23/19,19:16,Ewallet,443.28,4.4
342-65-4817,TP HCM,Member,Nam,Health and beauty,86.8,3,13.02,273.42,1/28/19,16:47,Ewallet,260.4,9.9
130-98-8941,TP HCM,Normal,Nam,Fashion accessories,64.26,7,22.491,472.311,2/9/19,10:00,Cash,449.82,5.7
434-83-9547,TP HCM,Member,Nam,Food and beverages,38.47,8,15.388,323.148,1/23/19,11:51,Cash,307.76,7.7
851-28-6367,TP HCM,Member,Nam,Sports and travel,15.5,10,7.75,162.75,3/23/19,10:55,Ewallet,155,8
824-88-3614,TP HCM,Normal,Nam,Health and beauty,34.31,8,13.724,288.204,1/25/19,15:00,Ewallet,274.48,5.7
586-25-0848,TP HCM,Normal,Nữ,Sports and travel,12.34,7,4.319,90.699,3/4/19,11:19,Credit card,86.38,6.7
895-66-0685,Đà Nẵng,Member,Nam,Food and beverages,18.08,3,2.712,56.952,3/5/19,19:46,Ewallet,54.24,8
305-14-0245,Đà Nẵng,Member,Nữ,Home and lifestyle,94.49,8,37.796,793.716,3/3/19,19:00,Ewallet,755.92,7.5
732-04-5373,Đà Nẵng,Member,Nam,Home and lifestyle,46.47,4,9.294,195.174,2/8/19,10:53,Cash,185.88,7
400-60-7251,TP HCM,Normal,Nam,Home and lifestyle,74.07,1,3.7035,77.7735,2/10/19,12:50,Ewallet,74.07,9.9
593-65-1552,TP HCM,Normal,Nữ,Home and lifestyle,69.81,4,13.962,293.202,1/28/19,20:50,Credit card,279.24,5.9
284-34-9626,Đà Nẵng,Normal,Nữ,Home and lifestyle,77.04,3,11.556,242.676,2/11/19,10:39,Credit card,231.12,7.2
437-58-8131,Đà Nẵng,Normal,Nữ,Fashion accessories,73.52,2,7.352,154.392,1/15/19,13:41,Ewallet,147.04,4.6
286-43-6208,TP HCM,Normal,Nữ,Food and beverages,87.8,9,39.51,829.71,3/16/19,19:08,Cash,790.2,9.2
641-43-2399,TP HCM,Normal,Nam,Home and lifestyle,25.55,4,5.11,107.31,1/26/19,20:23,Ewallet,102.2,5.7
831-07-6050,TP HCM,Normal,Nam,Electronic accessories,32.71,5,8.1775,171.7275,3/19/19,11:30,Credit card,163.55,9.9
556-86-3144,TP HCM,Member,Nữ,Fashion accessories,74.29,1,3.7145,78.0045,1/13/19,19:30,Cash,74.29,5
848-24-9445,TP HCM,Member,Nam,Health and beauty,43.7,2,4.37,91.77,3/26/19,18:03,Cash,87.4,4.9
856-22-8149,Hà Nội,Normal,Nữ,Home and lifestyle,25.29,1,1.2645,26.5545,3/23/19,10:13,Ewallet,25.29,6.1
699-01-4164,TP HCM,Normal,Nam,Health and beauty,41.5,4,8.3,174.3,3/12/19,19:58,Credit card,166,8.2
420-11-4919,TP HCM,Member,Nữ,Food and beverages,71.39,5,17.8475,374.7975,2/17/19,19:57,Credit card,356.95,5.5
606-80-4905,TP HCM,Member,Nữ,Sports and travel,19.15,6,5.745,120.645,1/29/19,10:01,Credit card,114.9,6.8
542-41-0513,TP HCM,Member,Nữ,Electronic accessories,57.49,4,11.498,241.458,3/15/19,11:57,Cash,229.96,6.6
426-39-2418,TP HCM,Normal,Nam,Electronic accessories,61.41,7,21.4935,451.3635,1/14/19,10:02,Cash,429.87,9.8
875-46-5808,Đà Nẵng,Member,Nam,Health and beauty,25.9,10,12.95,271.95,2/6/19,14:51,Ewallet,259,8.7
394-43-4238,Đà Nẵng,Member,Nam,Home and lifestyle,17.77,5,4.4425,93.2925,2/15/19,12:42,Credit card,88.85,5.4
749-24-1565,TP HCM,Normal,Nữ,Health and beauty,23.03,9,10.3635,217.6335,1/3/19,12:02,Ewallet,207.27,7.9
672-51-8681,TP HCM,Member,Nữ,Electronic accessories,66.65,9,29.9925,629.8425,1/4/19,18:19,Credit card,599.85,9.7
263-87-5680,TP HCM,Member,Nữ,Home and lifestyle,28.53,10,14.265,299.565,3/18/19,17:38,Ewallet,285.3,7.8
